,Date,Open,High,Low,Close,Adj Close,Volume
139,17-Aug-21,672.66,674.58,648.84,665.71,665.71,23721300.00
140,16-Aug-21,705.07,709.50,676.40,686.17,686.17,22677400.00
141,13-Aug-21,723.71,729.90,714.34,717.17,717.17,16698900.00
142,12-Aug-21,706.34,722.80,699.40,722.25,722.25,17459100.00
143,11-Aug-21,712.71,715.18,704.21,707.82,707.82,9800600.00
144,10-Aug-21,713.99,716.59,701.88,709.99,709.99,13432300.00
145,9-Aug-21,710.17,719.03,705.13,713.76,713.76,14715300.00
146,6-Aug-21,711.90,716.33,697.63,699.10,699.10,15576200.00
147,5-Aug-21,716.00,720.95,711.41,714.63,714.63,12919600.00
148,4-Aug-21,711.00,724.90,708.93,710.92,710.92,17002600.00
149,3-Aug-21,719.00,722.65,701.01,709.74,709.74,21620300.00
150,2-Aug-21,700.00,726.94,698.40,709.67,709.67,33615800.00
151,30-Jul-21,671.76,697.53,669.00,687.20,687.20,29600500.00
152,29-Jul-21,649.79,683.69,648.80,677.35,677.35,30394600.00
153,28-Jul-21,647.00,654.97,639.40,646.98,646.98,16006600.00
154,27-Jul-21,663.40,666.50,627.24,644.78,644.78,32813300.00
155,26-Jul-21,650.97,668.20,647.11,657.62,657.62,25336600.00
156,23-Jul-21,646.36,648.80,637.30,643.38,643.38,14604900.00
157,22-Jul-21,656.44,662.17,644.60,649.26,649.26,15105700.00
158,21-Jul-21,659.61,664.86,650.29,655.29,655.29,13953300.00
159,20-Jul-21,651.99,662.39,640.50,660.50,660.50,15487100.00
160,19-Jul-21,629.89,647.20,621.29,646.22,646.22,21297100.00
161,16-Jul-21,654.68,656.70,642.20,644.22,644.22,16371000.00
162,15-Jul-21,658.39,666.14,637.88,650.60,650.60,20209600.00
163,14-Jul-21,670.75,678.61,652.84,653.38,653.38,21641200.00
164,13-Jul-21,686.32,693.28,666.30,668.54,668.54,20966100.00
165,12-Jul-21,662.20,687.24,662.16,685.70,685.70,25927000.00
166,9-Jul-21,653.18,658.91,644.69,656.95,656.95,18140500.00
167,8-Jul-21,628.37,654.43,620.46,652.81,652.81,22773300.00
168,7-Jul-21,664.27,665.70,638.32,644.65,644.65,18792000.00
169,6-Jul-21,681.71,684.00,651.40,659.58,659.58,23284500.00
170,2-Jul-21,678.98,700.00,673.26,678.90,678.90,27054500.00
171,1-Jul-21,683.92,687.99,672.80,677.92,677.92,18634500.00
172,30-Jun-21,679.77,692.81,678.14,679.70,679.70,18924900.00
173,29-Jun-21,684.65,687.51,675.89,680.76,680.76,17381300.00
174,28-Jun-21,671.64,694.70,670.32,688.72,688.72,21628200.00
175,25-Jun-21,689.58,693.81,668.70,671.87,671.87,32496700.00
176,24-Jun-21,674.99,697.62,667.61,679.82,679.82,45982400.00
177,23-Jun-21,632.00,657.20,630.04,656.57,656.57,31099200.00
